[00:00:00] 欢迎收听古爱,我是圣木工,本期节目由NordVPN赞助
[00:47:04] 有认真育儿的爸爸
[00:47:05] 通常现生活美满
[00:47:07] 那想问问梦工
[00:47:09] 对这个命题的看法
[00:47:10] 爱您
[00:47:10] 首先一般来讲
[00:47:12] 我不知道大家的圈子是怎么样
[00:47:13] 因为我注意到
[00:47:14] 我现在讲总资产
[00:47:15] 要把他的房子
[00:47:15] 什么都算进去
[00:47:16] 然后甚至是
[00:47:17] 把贷款都排除掉
[00:47:19] 那我们的世界比较简单
[00:47:21] 我们跟身边朋友
[00:47:22] 大家一般在
[00:47:22] 很少在问这种话题
[00:47:24] 但如果有聊到
[00:47:25] 一般在讲AUM
[00:47:26] 就是你到底asset under management
[00:47:28] 你知道多少钱在你手上
[00:47:29] 这个是不含贷操的
[00:47:31] 就你到底有多少钱
[00:47:32] 所以这个是扣除掉
[00:47:33] 你的质押贷款什么的
[00:47:34] 就是你总共的净值是多少
[00:47:36] 所以一般是在讲净值
[00:47:37] 不是在讲总资产
[00:47:39] 因为总资产可能是含的
[00:47:40] 贷款在里面
[00:47:42] 或者说可能含房地产
[00:47:43] 或是什么其他有的没有东西
[00:47:44] 一般讲股票的净值
[00:47:45] 那再来讲说
[00:47:46] 是不是通常性生活美满
[00:47:48] 我觉得是吧
[00:47:50] 某个角度上来说是
[00:47:51] 因为你认真育儿
[00:47:53] 或说你回家
[00:47:54] 你老婆看到你
[00:47:55] 就是把什么地扫好
[00:47:56] 小朋友的安顿好
[00:47:57] 然后或者说什么
[00:47:58] 吸管机loading
[00:47:59] 全部装好什么的
[00:48:00] 这个老婆很难不动行
[00:48:01] 所以性生活美满
[00:48:02] 也是正常的吧
[00:48:03] 兄弟位
[00:48:04] 这期节目就是
[00:48:05] 古埃认真的边缘人
[00:48:07] 五星吹吹流量测试
[00:48:08] XXVI
[00:48:09] MK对于边缘运算的前景
[00:48:11] 有什么看法
[00:48:12] 在企业消费性
[00:48:13] 或是什么方向
[00:48:14] 比较有机会
[00:48:14] 看着网络文章
[00:48:15] 随股价涨跌
[00:48:16] 一下边缘运算
[00:48:18] 即将迎来爆发
[00:48:19] 一下子边缘运算已死
[00:48:21] 我都分不清
[00:48:22] 他到底是死还是活了
[00:48:23] 不是他说古埃认真的边缘人
[00:48:25] 是不是因为
[00:48:26] 你就是前面那个
[00:48:26] 跑来问我那个
[00:48:27] 严华的那个吗
[00:48:29] 严华跟元泰
[00:48:30] 然后我直接说
[00:48:31] 边缘人股票
[00:48:31] 就后来这两个档
[00:48:32] 直接给我动起来
[00:48:34] OK好
[00:48:35] 那边缘运算
[00:48:35] 到底是什么东西
[00:48:36] 简单来讲
[00:48:37] 就是你不用把它
[00:48:38] 太sugar coating
[00:48:39] 然后讲得很酷
[00:48:40] 或什么的
[00:48:41] 其实边缘运算
[00:48:42] 就是贩指那些
[00:48:43] 不是在Data Center里面
[00:48:44] 然后是在你的口袋
[00:48:45] 在你的电脑
[00:48:46] 在你家里
[00:48:47] 或在你的办公室的
[00:48:48] 运算的能量
[00:48:49] 我们就把它视为
[00:48:50] 是Edge Computing
[00:48:50] 甚至是你的手机
[00:48:51] 就是一个
[00:48:52] 那所以呢
[00:48:53] 就是如果说
[00:48:54] 未来的运算
[00:48:55] 有满多东西
[00:48:55] 会往这个Edge
[00:48:56] 去offload的话
[00:48:57] 那当然我们就可以
[00:48:58] 去视为说
[00:48:59] 边缘运算
[00:48:59] 有机会迎来一波爆发
[00:49:01] 上一波大家想要
[00:49:01] 炒这个话题的时候
[00:49:02] 是在讲说AIPC
[00:49:03] 然后最后面证明说
[00:49:04] AIPC就是一个joke
[00:49:05] 还是一个笑话
[00:49:06] 那时候我们自己
[00:49:07] 买了一台AIPC电脑
[00:49:08] 也跟大家分享出心得
[00:49:09] 就我们觉得
[00:49:10] 这个是滑而不时的东西
[00:49:11] 那当然未来
[00:49:12] 会不会突然间爆发
[00:49:13] 我们不确定
[00:49:14] 我们是可以合理的
[00:49:15] 去期待说
[00:49:16] 确实会往这个方向去
[00:49:20] 占用太多的流量费用
[00:49:22] 那确实就会是
[00:49:23] 厂商或是使用者
[00:49:24] 都想要的一个剧本
[00:49:25] 但近期是没有看到
[00:49:26] 什么特别的契机存在
[00:49:28] 但我觉得
[00:49:29] 像Google的分享有意思
[00:49:31] 他在他电话会里面
[00:49:32] 有提到说
[00:49:33] 他的TPU外销
[00:49:34] 其实某个程度上
[00:49:35] 可以视为是
[00:49:35] 他Cloud的一个策略的一环
[00:49:37] 因为他有些客人
[00:49:38] 就是希望把那些东西
[00:49:39] 放在他们自己的
[00:49:40] Data Center
[00:49:41] 放在他们自己的机房里面
[00:49:42] 所以那个算不算
[00:49:44] 是某个程度的边缘运算
[00:49:45] 可能也算
[00:49:46] 因为他并不是在
[00:49:47] Google的中心化
[00:49:49] Data Center里面
[00:49:49] 所以我觉得后面的界线
[00:49:50] 会越来越模糊
[00:49:51] 或许甚至根本不用
[00:49:52] 去讨论这个东西
[00:49:53] 那拜拜
[00:49:54] 拜拜
