[00:00:00] 欢迎收听古爱,我是盛梦公,本期节目由NordVPN赞助
[00:49:45] 没有要群目
[00:49:45] 才不需要各位的钱
[00:49:46] 弄自己的钱就好
[00:49:47] 那可能今天找到一些
[00:49:49] 有趣的东西要捐或什么的
[00:49:50] 就自己捐啊
[00:49:51] 像最近有纪录片的导演
[00:49:53] 找我募款
[00:49:54] 我就捐啊
[00:49:55] 我就捐
[00:49:55] 反正对我来讲
[00:49:56] 我可以做的
[00:49:57] 我自己做啦
[00:49:57] 那我不能够做的
[00:49:58] 那就不要做嘛
[00:49:59] 也不会说什么
[00:50:00] 希望大家一起来啊
[00:50:01] 呼吁
[00:50:02] 我最讨厌搞中有的没有的
[00:50:03] 我会觉得说
[00:50:04] 就是大家一起
[00:50:05] 在生活之中
[00:50:06] 你过得好
[00:50:07] 你有一些能量
[00:50:08] 可以去帮别人是很好
[00:50:09] 可是你不要整天在外面
[00:50:10] 就是好像在路上来人家说
[00:50:12] 哎你要不要帮助小朋友
[00:50:13] 哦你不帮哦
[00:50:14] 你干嘛给人家压力呢
[00:50:16] 每个人都有压力啦
[00:50:17] 所以你想干嘛
[00:50:17] 你就自己去做
[00:50:18] 不要去找别人
[00:50:19] 那我也不会去做
[00:50:20] 这种聚重的事情
[00:50:21] 反正真的是想干嘛
[00:50:22] 就自己做
[00:50:23] 那社会
[00:50:23] 获得了你的帮助之后
[00:50:25] 不一定会变成一个更好的地方
[00:50:26] 那都是让自己心里
[00:50:28] 可能稍微的好过一点的事情而已
[00:50:29] 那当然你就赚钱
[00:50:30] 就找个适合的地方
[00:50:32] 或者说你找不到适合的地方
[00:50:33] 你可以简单一点嘛
[00:50:35] 这个帮你服务的人
[00:50:36] 你就给他个小费
[00:50:37] 请他喝个饮料或什么的
[00:50:39] 卖你玉兰花的
[00:50:40] 这个200块就不用找了
[00:50:41] 500块就不用找了
[00:50:42] 那这都是
[00:50:42] 我觉得很小的事情
[00:50:44] 可是对你自己来讲
[00:50:46] 是很充实的
[00:50:46] 对他来讲
[00:50:47] 他一定也是很高兴的东西
[00:50:48] 大家这样
[00:50:48] 拜拜
