[00:00:00] 欢迎收听古爱,我是顺目公
[00:47:52] 那个留言到底
[00:47:52] 他整个在讲什么
[00:47:53] 那个应该是有在课要
[00:47:55] PXZZZ
[00:47:56] 好想吃豚筋
[00:47:57] 嗨梦工
[00:47:58] 好奇梦工和Lisa
[00:47:59] 有小孩之后
[00:48:00] 还有两人世界吗
[00:48:00] 以前约会总能够
[00:48:02] 说走就走
[00:48:02] 有小孩之后
[00:48:03] 几乎没有两人世界
[00:48:04] 还有太太很懂气氛
[00:48:05] 在外女强人
[00:48:06] 在家像直男辟孩
[00:48:08] 在家最爱讲些
[00:48:09] 不达不起的dirty talk
[00:48:11] 搭配上下骑手
[00:48:12] 看似幼稚又好笑的互动
[00:48:14] 让我们维持感情温度
[00:48:15] 那希望梦工忙碌之余
[00:48:17] 也会在生活中
[00:48:18] 保有小情调
[00:48:19] 括号不一定要学我太太
[00:48:20] 那CES教授我太太
[00:48:21] 三迪娃娃的生日
[00:48:22] 香情梦工
[00:48:24] 祝她Happy Birthday
[00:48:26] !祝梦工一家
[00:48:27] 平安健康
[00:48:28] 诺牙安哥
[00:48:30] 快乐长大
[00:48:31] 爱你China
[00:48:32] 好啦
[00:48:33] 那对
[00:48:34] 因为她有教语音
[00:48:35] 我就服务她一下
[00:48:36] 那再来她讲说
[00:48:37] 这个不达不起
[00:48:38] dirty talk
[00:48:39] 所以有人听得懂
[00:48:40] 我的不达不起是什么
[00:48:41] 这应该是我们
[00:48:42] HakaFamily
[00:48:43] 虽然我其实是一半一半
[00:48:44] 就一半Haka
[00:48:45] 一半是闽南
[00:48:46] 但从小有被训练讲客家话
[00:48:49] 所以有大家就不小心
[00:48:50] 用到一些客家用词
[00:48:51] 我觉得蛮好笑的
[00:48:52] 我们可以推广一下
[00:48:52] 不达不起
[00:48:53] 就是在搞那种
[00:48:54] 不三不四
[00:48:55] 不上不下的东西
[00:48:56] 阿西巴拉
[00:48:56] 例子这样的一个意思
[00:48:57] 那你说会不会有这个
[00:48:59] 养人的世界
[00:49:01] 会比较少一点
[00:49:02] 那一般
[00:49:02] 其实我太太做的
[00:49:03] 不想他会刻意的经营
[00:49:04] 就在说
[00:49:04] 就会找个时间
[00:49:05] 跟他说
[00:49:05] 我们可不可以
[00:49:06] 一起去吃个中餐
[00:49:07] 只是蛮多时候
[00:49:08] 我会拒绝他
[00:49:08] 因为中午我们在看盘
[00:49:10] 只是现在
[00:49:10] 我生活有去做调整
[00:49:12] 其实一些小细节
[00:49:13] 真的影响到我生活很多
[00:49:14] 像我跟大家讲说
[00:49:15] 因为网球
[00:49:16] 教练跟我约8点半
[00:49:17] 以前这个时间
[00:49:18] 我绝对要看盘
[00:49:19] 但我现在为了要减肥
[00:49:21] 减肥是可能top priority
[00:49:22] 所以我破除掉了
[00:49:24] 这个固定的行为模式之后
[00:49:26] 导致
[00:49:26] 我现在中午有时候
[00:49:27] 我老婆找我出去
[00:49:27] 我会说
[00:49:28] 好啊
[00:49:28] OK啊
[00:49:29] 我可以去啊
[00:49:29] 或者说
[00:49:30] 你可能红酒
[00:49:31] 本来只是想说
[00:49:31] 去了解人家干嘛
[00:49:32] 就是因为红酒
[00:49:33] 反而喜欢跟老婆
[00:49:34] 去逛好试多
[00:49:35] 所以对
[00:49:35] 就是两人的时间
[00:49:36] 是需要去经营的
[00:49:38] 就是两方都要去用心
[00:49:39] 那我老婆有时候
[00:49:39] 也会很感慨地讲说
[00:49:40] 你还记得没有诺雅以前
[00:49:42] 我们去巴黎岛的时候
[00:49:42] 我们两个人在干嘛
[00:49:43] 那我就会觉得说
[00:49:44] 其实两个人世界
[00:49:45] 也蛮好玩的
[00:49:46] 但我们都有一个共识
[00:49:47] 我们也知道说
[00:49:47] 我们不是在自我安慰
[00:49:49] 就是有孩子之后
[00:49:49] 其实生活是变得更好玩的
[00:49:51] 但对
[00:49:51] 如果你们今天
[00:49:52] 还没有生小孩的时候
[00:49:52] 你们是两个人
[00:49:53] 你们就好好的把握
[00:49:54] 然后多累积一点回忆
[00:49:55] 因为下一次
[00:49:56] 可能等到20年之后的话
[00:49:57] 大家讲
[00:49:58] 拜拜
